"","station","place","lon","lat","alt"
"1","X249180010","PSZCZYNA",18.9191666667,49.9955555556,270
"2","X249180130","CIESZYN",18.6483333333,49.7541666667,295
"3","X249180160","BRENNA",18.8708333333,49.7536111111,350
"4","X249180210","SZCZYRK",18.9947222222,49.7030555556,600
"5","X249180230","WISLA",18.8613888889,49.6547222222,430
"6","X249180260","ISTEBNA-KUBALONKA",18.9011111111,49.6036111111,780
"7","X249190030","LIBERTOW",19.895,49.9725,318
"8","X249190090","INWALD",19.3886111111,49.8672222222,350
"9","X249190130","MIEDZYBRODZIE BIALSKIE",19.1961111111,49.7894444444,328
"10","X249190140","LESKOWIEC",19.4466666667,49.7955555556,872
"11","X249190190","MAKOW PODHALANSKI",19.6880555556,49.7258333333,361
"12","X249190240","LACHOWICE KRALE",19.4177777778,49.6883333333,616
"13","X249190280","KRZECZOW",19.91,49.6836111111,548
"14","X249190320","LUBON WIELKI",19.9922222222,49.6533333333,1021
"15","X249190350","ZAWOJA",19.5186111111,49.6119444444,697
"16","X249190440","KORBIELOW",19.3483333333,49.5686111111,650
"17","X249190480","LALIKI",19.0161111111,49.5447222222,680
"18","X249190520","OBIDOWA",19.9686111111,49.5441666667,805
"19","X249190530","PILSKO",19.3183333333,49.5411111111,1278
"20","X249190560","JABLONKA",19.6958333333,49.4722222222,614
"21","X249190640","NOWE BYSTRE",19.9291666667,49.3322222222,870
"22","X249190670","POLANA CHOCHOLOWSKA",19.7886111111,49.2369444444,1145
"23","X249190780","GUBALOWKA",19.9297222222,49.3055555556,1123
"24","X249190790","RATULOW",19.8841666667,49.3916666667,679
"25","X249190890","RADZIECHOWY ",19.1555555556,49.6486111111,395
"26","X249200020","LAZY",20.4952777778,49.9652777778,245
"27","X249200070","DOBCZYCE",20.0705555556,49.8775,308
"28","X249200110","JODLOWNIK",20.2247222222,49.7708333333,384
"29","X249200120","ROZDZIELE",20.4161111111,49.7852777778,627
"30","X249200130","JASTRZEBIA",20.8963888889,49.7863888889,288
"31","X249200180","LIMANOWA",20.4183333333,49.6936111111,515
"32","X249200240","PTASZKOWA",20.8866666667,49.6002777778,520
"33","X249200260","LACKO",20.4394444444,49.5597222222,366
"34","X249200270","TURBACZ",20.1180555556,49.5447222222,1273
"35","X249200320","LOPUSZNA",20.1236111111,49.4741666667,570
"36","X249200330","STUDZIONKI",20.2119444444,49.4952777778,904
"37","X249200340","DEBNO",20.2094444444,49.4658333333,536
"38","X249200360","MIZERNA",20.2819444444,49.4552777778,570
"39","X249200370","KROSCIENKO",20.4316666667,49.4455555556,435
"40","X249200420","NIEDZICA",20.3158333333,49.4177777778,534
"41","X249200440","JAWORZYNA KRYNICKA",20.8952777778,49.4177777778,1110
"42","X249200480","BUKOWINA TATRZANSKA",20.0983333333,49.3375,902
"43","X249200490","MUSZYNA",20.8863888889,49.3497222222,445
"44","X249200540","HALA GASIENICOWA",20.0058333333,49.2438888889,1523
"45","X249200550","DOLINA PIECIU STAWOW",20.0477777778,49.2136111111,1674
"46","X249200910","MORSKIE OKO",20.0713888889,49.2011111111,1400
"47","X249200920","PIWNICZNA",20.7230555556,49.425,380
"48","X249200930","PORONIN",20.0352777778,49.3302777778,776
"49","X249200980","MSZANA DOLNA",20.0544444444,49.6636111111,440
"50","X249201010","SIERCZA",20.0338888889,49.9725,336
"51","X249210070","BIECZ-GRUDNA",21.2955555556,49.7352777778,285
"52","X249210140","DUKLA",21.6805555556,49.5669444444,385
"53","X249210150","IWONICZ-ZDROJ",21.7883333333,49.5672222222,425
"54","X249210170","BARTNE",21.3455555556,49.5586111111,540
"55","X249210230","WYSOWA",21.1725,49.4380555556,519
"56","X249210240","BARWINEK",21.6847222222,49.4311111111,450
"57","X249210260","TYLICZ",21.0088888889,49.3922222222,585
"58","X249220040","DYNOW",22.235,49.8352777778,249
"59","X249220060","BIRCZA",22.4811111111,49.6872222222,324
"60","X249220080","SANOK-TREPCZA",22.1852777778,49.5847222222,307
"61","X249220120","LESZCZOWATE",22.5477777778,49.5072222222,486
"62","X249220150","SOLINA-JAWOR",22.4683333333,49.4,459
"63","X249220170","BALIGROD-MCHAWA",22.2836111111,49.3538888889,430
"64","X249220180","KOMANCZA",22.0633333333,49.3391666667,478
"65","X249220210","TERKA",22.4269444444,49.2972222222,446
"66","X249220220","POLANA",22.5766666667,49.3033333333,458
"67","X249220240","ZUBRACZE",22.2716666667,49.2088888889,623
"68","X249220280","STUPOSIANY",22.6830555556,49.1916666667,547
"69","X249220290","ROZTOKI GORNE",22.3169444444,49.1533333333,701
"70","X249220320","POLONINA WETLINSKA",22.5516666667,49.1577777778,1226
"71","X249220330","TARNAWA NIZNA",22.7913888889,49.1247222222,708
"72","X249220350","WYZNIANSKI WIERCH",22.5858333333,49.1219444444,913
"73","X250140030","BOGATYNIA",14.9805555556,50.8997222222,295
"74","X250150090","SWIERADOW-ZDROJ",15.3586111111,50.8983333333,510
"75","X250150150","SZKLARSKA POREBA",15.5291666667,50.8344444444,645
"76","X250150170","JAKUSZYCE",15.4419444444,50.8230555556,860
"77","X250150220","KARPACZ",15.7694444444,50.7788888889,575
